,Title,Author,Rating,Img,Img_description,Year,Words,Minutes,Description,Genres,Blurb,PDF,Epub,Read
10,The Adventure of Charles Augustus Milverton,Arthur Conan Doyle,4.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/covers/small/the_adventure_of_charles_augustus_milverton.jpg,Drawing of a man in a robe and top hat stands in the shadows with his hands clasped.,1904.0,6699,27,"Sherlock Holmes must help the Lady Evan Brackwell, who has fallen prey to the infamous king of blackmail, Charles Augustus Milverton.",Mystery;Adventure,"“Heaven help the man, and still more the woman, whose secret and reputation come into the power of Milverton. With a smiling face and a heart of marble he will squeeze and squeeze until he has drained them dry.”",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-charles-augustus-milverton.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-charles-augustus-milverton.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-charles-augustus-milverton
11,The Adventure of Shoscombe Old Place,Arthur Conan Doyle,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/covers/small/the_adventure_of_shoscombe_old_place.jpg,Drawing of Holmes and a small black dog waiting behind a bush as a horse and carriage approaches.,1927.0,6230,25,The trainer of a racing stable comes to Holmes claiming that his master has gone mad and disappears into a crypt every night to speak with a strange man.,Mystery;Adventure,"“He should have been a buck in the days of the Regency—a boxer, an athlete, a plunger on the turf, a lover of fair ladies, and, by all account, so far down Queer Street that he may never find his way back again.”",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-shoscombe-old-place.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-shoscombe-old-place.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-shoscombe-old-place
12,The Adventure of the Abbey Grange,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1904.0,9141,37,"Sir Eustace Brackwell, one of the richest men in Kent, is dead, Knocked with his own poker. The infamous Randall Gang is the main suspect.",Mystery;Adventure,"“Well, they did not take much—only half-a-dozen articles of plate off the sideboard. Lady Brackenstall thinks that they were themselves so disturbed by the death of Sir Eustace that they did not ransack the house as they would otherwise have done.”",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-abbey-grange.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-abbey-grange.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-abbey-grange
13,The Adventure of the Beryl Coronet,Arthur Conan Doyle,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/covers/small/the_adventure_of_the_beryl_coronet.jpg,Drawing of two men in suits (Holmes and Watson) console a man sitting down with his hand in his hair.,1892.0,9674,39,"Alexander Holder, the senior partner in the second largest private banking concern in the City of London, was entrusted with the priceless ‘Beryl Coronet’. Now he finds himself asking Holmes for help, after losing three of its beryl jewels to thievery from his own household.",Mystery;Adventure,"At my cry he dropped it from his grasp and turned as pale as death. I snatched it up and examined it. One of the gold corners, with three of the beryls in it, was missing.",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-beryl-coronet.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-beryl-coronet.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-beryl-coronet
14,The Adventure of the Blue Carbuncle,Arthur Conan Doyle,2.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1892.0,7805,32,The silly mystery of an abandoned felt hat and Christmas goose turns into an extravagant scandal when the precious ‘Blue Carbuncle’ is found in the stomach of the goose.,Mystery;Adventure,“My name is Sherlock Holmes. It is my business to know what other people don’t know.”,https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-blue-carbuncle.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-blue-carbuncle.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-blue-carbuncle
15,The Adventure of the Bruce-Partington Plans,Arthur Conan Doyle,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/covers/small/the_adventure_of_the_bruce_partington_plans.jpg,"Drawing of four men in a room, one standing up holds a large stack of paper.",1908.0,10677,43,A clerk is found dead with the plans for the British Navy’s revolutionary new submarine in his pocket.,Mystery;Adventure,"You must drop everything, Sherlock. Never mind your usual petty puzzles of the police-court. It’s a vital international problem that you have to solve. Why did Cadogan West take the papers, where are the missing ones, how did he die, how came his body where it was found, how can the evil be set right?",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-bruce-partington-plans.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-bruce-partington-plans.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-bruce-partington-plans
16,The Adventure of the Cardboard Box,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/covers/small/the_adventure_of_the_cardboard_box.jpg,"Drawing of Holmes, Watson and anotehr man peering at a board as the third man arranges two small objects.",1893.0,8631,35,"Miss Susan Cushing receives a cardboard box with two severed human ears. Scotland Yard suspects a revenge prank from evicted tenants with access to human remains, but Holmes suspects a more sinister plot.",Mystery;Adventure,"“The presumption is strongly against it. Bodies in the dissecting-rooms are injected with preservative fluid. These ears bear no signs of this. They are fresh, too. They have been cut off with a blunt instrument, which would hardly happen if a student had done it.”",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-cardboard-box.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-cardboard-box.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-cardboard-box
17,The Adventure of the Copper Beeches,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/covers/small/the_adventure_of_the_copper_beeches.jpg,Drawing of a lady talking to a sitting Holmes and Watson.,1892.0,9938,40,"Violet Hunter tells Holmes of her mysterious job offer, giving her a considerable salary with the peculiar caveat of needing her to cut her hair short.",Mystery;Adventure,"“To the man who loves art for its own sake, it is frequently in its least important and lowliest manifestations that the keenest pleasure is to be derived.”",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-copper-beeches.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-copper-beeches.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-copper-beeches
18,The Adventure of the Creeping Man,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/covers/small/the_adventure_of_the_creeping_man.jpg,Drawing of a woman in bed noticing a man staring through the window.,1923.0,7648,31,"A famous professor has begun to show extremely disturbing habits after a visit to Prague, including walking on all fours and appearing in places that should be inaccessible to a man of his age. His loyal dog has also begun attacking him.",Mystery;Adventure,"“A dog reflects the family life. Whoever saw a frisky dog in a gloomy family, or a sad dog in a happy one? Snarling people have snarling dogs, dangerous people have dangerous ones. And their passing moods may reflect the passing moods of others.”",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-creeping-man.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-creeping-man.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-creeping-man
19,The Adventure of the Dancing Men,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1905.0,9675,39,"Hilton Cubit asks Holmes to explain to him a mysterious set of pictograms that frightens his wife, who refuses to explain why.",Mystery;Adventure,"“What one man can invent another can discover,”",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-dancing-men.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-dancing-men.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-dancing-men
20,The Adventure of the Devil’s Foot,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1910.0,9968,40,"One is dead and two have been rendered insane, and yet not even Holmes can find any evidence of poison or an intruder.",Mystery;Adventure,To let the brain work without sufficient material is like racing an engine. It racks itself to pieces.,https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-devils-foot.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-devils-foot.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-devils-foot
21,The Adventure of the Dying Detective,Arthur Conan Doyle,4.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/covers/small/the_adventure_of_the_dying_detective.jpg,"Drawing of Holmes, lying in bed, is reaching out towards Watson who his handling a small box.",1913.0,5769,24,"Upon learning of a bedridden Holmes, Watson finds him gaunt and flushed, claiming to have a disease both fatal and infectious.",Mystery;Adventure,"“For three days he has been sinking, and I doubt if he will last the day. He would not let me get a doctor. This morning when I saw his bones sticking out of his face and his great bright eyes looking at me I could stand no more of it.”",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-dying-detective.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-dying-detective.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-dying-detective
22,The Adventure of the Empty House,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1903.0,8689,35,"With Holmes gone, Watson tries his hand at solving the tragedy of Ronald Adair. Adair has been found shot, but with no gun or trace of an intruder in the room in which he lay.",Mystery;Adventure,"It can be imagined that my close intimacy with Sherlock Holmes had interested me deeply in crime, and that after his disappearance I never failed to read with care the various problems which came before the public.",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-empty-house.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-empty-house.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-empty-house
23,The Adventure of the Engineer’s Thumb,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1892.0,8281,34,"Mr. Victor Hatherley tells of how he was hired by a strange man to inspect a hydraulic press, eventually leading to his near death by crushing.",Mystery;Adventure,"Sherlock Holmes was, as I expected, lounging about his sittingroom in his dressing-gown, reading the agony column of The Times and smoking his before-breakfast pipe . . .",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-engineers-thumb.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-engineers-thumb.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-engineers-thumb
24,The Adventure of the Golden Pince-Nez,Arthur Conan Doyle,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/covers/small/the_adventure_of_the_golden_pince_nez.jpg,Drawing of a man (Holmes) grabbing the hand of a distressed woman in a room with three other people.,1904.0,8918,36,"A detective comes to Holmes with a case of a dead man, a small sealing-wax knife, and a pince-nez.",Mystery;Adventure,“There can be no question that this was snatched from the face or the person of the assassin.”,https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-golden-pince-nez.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-golden-pince-nez.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-golden-pince-nez
25,The Adventure of the Lion’s Mane,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1926.0,7171,29,"Holmes and Stackhurst are walking along the beach when a third friend appears, staggering out from behind a cliff edge to drop dead at their feet.",Mystery;Adventure,"One glimmer of life came into his face for an instant, and he uttered two or three words with an eager air of warning. They were slurred and indistinct, but to my ear the last of them, which burst in a shriek from his lips, were “the Lion’s Mane.”",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-lions-mane.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-lions-mane.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-lions-mane
26,The Adventure of the Mazarin Stone,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1921.0,5639,23,Holmes tells Watson of his plan to foil his would-be assassin using a wax model.,Mystery;Adventure,"“No violence, gentlemen—no violence, I beg of you! Consider the furniture!”",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-mazarin-stone.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-mazarin-stone.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-mazarin-stone
27,The Adventure of the Missing Three-Quarter,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1904.0,8006,33,Overton comes to Holmes for help find his missing rugger teammate.,Mystery;Adventure,"“You must admit that it is curious and suggestive that this incident should occur on the eve of this important match, and should involve the only man whose presence seems essential to the success of the side. It may, of course, be coincidence, but it is interesting.”",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-missing-three-quarter.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-missing-three-quarter.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-missing-three-quarter
28,The Adventure of the Noble Bachelor,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1892.0,8100,33,Lord St. Simon comes to Holmes to ask him to find his missing bride.,Mystery;Adventure,"“Ah, Watson,” said Holmes, smiling, “perhaps you would not be very gracious either, if, after all the trouble of wooing and wedding, you found yourself deprived in an instant of wife and of fortune. I think that we may judge Lord St. Simon very mercifully and thank our stars that we are never likely to find ourselves in the same position.”",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-noble-bachelor.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-noble-bachelor.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-noble-bachelor
29,The Adventure of the Norwood Builder,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1903.0,9214,37,"McFarlane comes to Holmes desperately claiming that despite having all the evidence pointing to him having murdered a man for his inheritance, he is innocent.",Mystery;Adventure,"“Important fresh evidence to hand. McFarlane’s guilt definitely established. Advise you to abandon case.
 — Lestrade.”",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-norwood-builder.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-norwood-builder.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-norwood-builder
30,The Adventure of the Priory School,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1904.0,11455,46,"The ten-year-old son of one of the richest Dukes of England has disappeared, possibly having been abducted. The principal of his school begs for help from Sherlock Holmes.",Mystery;Adventure,"“Well, now, you do not mean to seriously suggest that this German rode off upon a bicycle in the dead of the night bearing the boy in his arms?”",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-priory-school.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-priory-school.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-priory-school
31,The Adventure of the Red Circle,Arthur Conan Doyle,3.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/covers/small/the_adventure_of_the_red_circle.jpg,Drawing of Holmes with his smoking pipe stares at a sheet of paper in his hand.,1911.0,7285,30,"A man offers a woman double her lodging rate if she promises to never disturb him. But after his habits distress her too much, she pays a call to Holmes for help.",Mystery;Adventure,"“It was his particular direction that we should always, when he rang, leave his meal upon a chair, outside his door. Then he rings again when he has finished, and we take it down from the same chair. If he wants anything else he prints it on a slip of paper and leaves it.”",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-red-circle.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-red-circle.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-red-circle
32,The Adventure of the Retired Colourman,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1926.0,5498,22,"A painter comes to Holmes asking for help finding his wife, who he believes ran off with his neighbour and all their money. Holmes, busy with another case, sends Watson to investigate.",Mystery;Adventure,"“He tore up one of his wife’s photographs in my presence—tore it up furiously in a tempest of passion. ‘I never wish to see her damned face again,’ he shrieked.”",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-retired-colourman.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-retired-colourman.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-retired-colourman
33,The Adventure of the Second Stain,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1904.0,9763,40,"Two politicians come to Holmes desperate to regain a stolen document of drastic importance, else even war might be possible.",Mystery;Adventure,"“You will not see him.”
“Why not?”
“He was murdered in his house last night.”",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-second-stain.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-second-stain.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-second-stain
34,The Adventure of the Six Napoleons,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1904.0,8320,34,"Someone has been breaking into stores and breaking plaster busts of Napoleon and nothing more. The Police suspect lunacy, but Holmes has a different motive in mind.",Mystery;Adventure,“This is certainly very novel.”,https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-six-napoleons.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-six-napoleons.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-six-napoleons
35,The Adventure of the Solitary Cyclist,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1903.0,7824,32,Miss Violet Smith comes to Holmes concerning a strange cyclist who has been following her as she leaves her work every weekend.,Mystery;Adventure,“It was a straight left against a slogging ruffian. I emerged as you see me. Mr. Woodley went home in a cart.”,https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-solitary-cyclist.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-solitary-cyclist.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-solitary-cyclist
36,The Adventure of the Speckled Band,Arthur Conan Doyle,4.0,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/covers/small/the_adventure_of_the_speckled_band.jpg,"Drawing of a woman with her hand on Sherlock Holmes in plea, nearby is Watson.",1892.0,9801,40,A woman asks for help solving the death of her sister with the only clue being the sister’s screams of ‘the speckled band’.,Mystery;Adventure,"At first I thought that she had not recognised me, but as I bent over her she suddenly shrieked out in a voice which I shall never forget, “Oh, my God! Helen! It was the band! The speckled band!”",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-speckled-band.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-speckled-band.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-speckled-band
37,The Adventure of the Sussex Vampire,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1924.0,5957,24,Sherlock Holmes investigates the claim of a blood-sucking woman in Sussex.,Mystery;Adventure,"Our client, Mr. Robert Ferguson, of Ferguson and Muirhead, tea brokers, of Mincing Lane, has made some inquiry from us in a communication of even date concerning vampires.",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-sussex-vampire.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-sussex-vampire.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-sussex-vampire
38,The Adventure of the Three Gables,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1926.0,6040,25,"A man comes to see Holmes and Watson, full of threats.",Mystery;Adventure,"I don’t think that any of my adventures with Mr. Sherlock Holmes opened quite so abruptly, or so dramatically, as that which I associate with The Three Gables.",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-three-gables.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-three-gables.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-three-gables
39,The Adventure of the Three Garridebs,Arthur Conan Doyle,,https://libraryofshortstories.s3.ap-southeast-2.amazonaws.com/small/detective.jpg,A man in a bowler hat and a popped collar. Graphite filter,1924.0,6184,25,"Two men with the same last name, ‘Garrideb’, claim to be looking for a third. Only then can they pass the test of a dead, eccentric millionaire and inherit his fortune three ways.",Mystery;Adventure,"“He had no kith nor kin—or, if he had, I never heard of it. But he took a kind of pride in the queerness of his name. That was what brought us together.”",https://www.libraryofshortstories.com/storiespdf/the-adventure-of-the-three-garridebs.pdf,https://www.libraryofshortstories.com/storiesepub/the-adventure-of-the-three-garridebs.epub,https://www.libraryofshortstories.com/onlinereader/the-adventure-of-the-three-garridebs
